CMDLINE /usr/local/anaconda3/bin/python dfs.py
MEM 36.707031 1583036213.3892
MEM 36.707031 1583036213.4909
MEM 36.707031 1583036213.5955
MEM 36.707031 1583036213.7006
MEM 36.707031 1583036213.8033
MEM 36.707031 1583036213.9064
MEM 36.707031 1583036214.0093
MEM 36.707031 1583036214.1132
MEM 36.707031 1583036214.2153
MEM 36.707031 1583036214.3198
MEM 36.707031 1583036214.4236
MEM 36.707031 1583036214.5257
MEM 36.707031 1583036214.6302
MEM 36.707031 1583036214.7307
MEM 36.707031 1583036214.8356
MEM 36.707031 1583036214.9408
MEM 36.707031 1583036215.0439
MEM 36.707031 1583036215.1574
MEM 36.707031 1583036215.2675
MEM 36.707031 1583036215.3697
MEM 36.707031 1583036215.4756
MEM 36.707031 1583036215.5790
MEM 36.707031 1583036215.6838
MEM 36.707031 1583036215.7871
MEM 36.707031 1583036215.8920
MEM 36.707031 1583036215.9922
MEM 36.707031 1583036216.0943
MEM 36.707031 1583036216.1994
MEM 36.707031 1583036216.3043
MEM 36.707031 1583036216.4098
MEM 36.707031 1583036216.5127
MEM 36.707031 1583036216.6134
MEM 36.707031 1583036216.7161
MEM 36.707031 1583036216.8201
MEM 36.707031 1583036216.9248
MEM 36.707031 1583036217.0279
MEM 36.707031 1583036217.1322
MEM 36.707031 1583036217.2333
MEM 36.707031 1583036217.3338
MEM 36.707031 1583036217.4340
MEM 36.707031 1583036217.5353
MEM 36.707031 1583036217.6355
MEM 36.707031 1583036217.7358
MEM 36.707031 1583036217.8395
MEM 36.707031 1583036217.9436
MEM 36.707031 1583036218.0454
MEM 36.707031 1583036218.1500
MEM 36.707031 1583036218.2524
MEM 36.707031 1583036218.3562
MEM 36.707031 1583036218.4609
MEM 36.707031 1583036218.5653
MEM 36.707031 1583036218.6706
MEM 36.707031 1583036218.7716
MEM 36.707031 1583036218.8719
MEM 36.707031 1583036218.9727
MEM 36.707031 1583036219.0759
MEM 36.707031 1583036219.1804
MEM 36.707031 1583036219.2829
MEM 36.707031 1583036219.3856
MEM 36.707031 1583036219.4891
MEM 36.707031 1583036219.5923
MEM 36.707031 1583036219.6948
MEM 36.707031 1583036219.8012
MEM 36.707031 1583036219.9051
MEM 36.707031 1583036220.0093
MEM 36.707031 1583036220.1111
MEM 36.707031 1583036220.2141
MEM 36.707031 1583036220.3143
MEM 36.707031 1583036220.4146
MEM 36.707031 1583036220.5197
MEM 36.707031 1583036220.6204
MEM 36.707031 1583036220.7244
MEM 36.707031 1583036220.8279
MEM 36.707031 1583036220.9311
MEM 36.707031 1583036221.0321
MEM 36.707031 1583036221.1342
MEM 36.707031 1583036221.2355
MEM 36.707031 1583036221.3377
MEM 36.707031 1583036221.4433
MEM 36.707031 1583036221.5476
MEM 36.707031 1583036221.6515
MEM 36.707031 1583036221.7556
MEM 36.707031 1583036221.8594
MEM 36.707031 1583036221.9612
MEM 36.707031 1583036222.0627
MEM 36.707031 1583036222.1662
MEM 36.707031 1583036222.2699
MEM 36.707031 1583036222.3718
MEM 36.707031 1583036222.4720
MEM 36.707031 1583036222.5761
MEM 36.707031 1583036222.6814
MEM 36.707031 1583036222.7823
MEM 36.707031 1583036222.8836
MEM 36.707031 1583036222.9840
