CMDLINE C:\Users\Matthew\Anaconda3\envs\comp472\python.exe .\mem_tester.py
MEM 0.429688 1583028356.2650
MEM 15.449219 1583028356.3657
MEM 17.152344 1583028356.4665
MEM 17.277344 1583028356.5672
MEM 17.281250 1583028356.6679
MEM 17.367188 1583028356.7686
MEM 17.437500 1583028356.8694
