CMDLINE C:\Users\Matthew\Anaconda3\envs\comp472\python.exe .\mem_tester.py
MEM 0.539062 1583028244.2562
MEM 13.390625 1583028244.3566
MEM 17.226562 1583028244.4573
MEM 17.289062 1583028244.5581
MEM 17.367188 1583028244.6588
MEM 17.480469 1583028244.7595
MEM 17.542969 1583028244.8603
MEM 17.574219 1583028244.9603
